"","Point Forecast","Lo 10","Hi 10","Lo 25","Hi 25"
"Dec 2010",973.391644034116,960.616723508179,986.166564560053,940.998289570276,1005.78499849796
"Jan 2011",1026.22467163748,1013.44975111155,1038.99959216342,993.831317173643,1058.61802610132
"Feb 2011",870.767482548655,857.992562022718,883.542403074592,838.374128084815,903.160837012495
"Mar 2011",870.22006300036,857.445142474424,882.994983526297,837.826708536521,902.6134174642
"Apr 2011",789.789331330003,777.014410804066,802.56425185594,757.395976866163,822.182685793843
"May 2011",777.160391180777,764.38547065484,789.935311706714,744.767036716937,809.553745644617
"Jun 2011",612.645772762747,599.87085223681,625.420693288684,580.252418298907,645.039127226587
"Jul 2011",489.381823214725,476.606902688788,502.156743740662,456.988468750885,521.775177678565
"Aug 2011",439.79987984959,427.024959323653,452.574800375527,407.40652538575,472.19323431343
"Sep 2011",669.870938032018,657.096017506082,682.645858557955,637.477583568179,702.264292495858
"Oct 2011",856.90349190677,844.128571380833,869.678412432706,824.51013744293,889.296846370609
"Nov 2011",850.521365631905,837.746445105968,863.296286157842,818.128011168065,882.914720095745
"Dec 2011",999.009406163465,985.317907376118,1012.70090495081,964.29188502826,1033.72692729867
