"","Point Forecast","Lo 10","Hi 10","Lo 25","Hi 25"
"2010.906",178.49077851932,173.763514848069,183.218042190571,166.503860288717,190.477696749923
"2010.925",209.732003749503,204.863747774004,214.600259725001,197.387571460092,222.076436038913
"2010.943",211.778167532405,206.909911556907,216.646423507904,199.433735242995,224.122599821816
"2010.962",224.029494067337,219.161238091838,228.897750042835,211.685061777926,236.373926356747
"2010.981",37.0474878349417,32.1792318594433,41.9157438104401,24.7030555455314,49.391920124352
"2011.000",200.146841290616,195.278585315117,205.015097266114,187.802409001205,212.491273580026
"2011.019",181.345994069617,176.477738094119,186.214250045116,169.001561780207,193.690426359028
"2011.038",250.976685437767,246.108429462268,255.844941413265,238.632253148356,263.321117727177
"2011.057",242.832414512126,237.964158536628,247.700670487625,230.487982222716,255.176846801537
"2011.075",249.962455908423,245.094199932924,254.830711883921,237.618023619012,262.306888197833
"2011.094",243.454766115295,238.586510139796,248.323022090793,231.110333825884,255.799198404705
"2011.113",200.587105995078,195.718850019579,205.455361970576,188.242673705667,212.931538284488
"2011.132",207.168792521985,202.300536546486,212.037048497483,194.824360232574,219.513224811395
"2011.151",159.480211637663,154.611955662165,164.348467613162,147.135779348253,171.824643927074
"2011.170",195.77007916119,190.901823185692,200.638335136689,183.42564687178,208.114511450601
"2011.189",199.909057851212,195.040801875713,204.77731382671,187.564625561801,212.253490140622
"2011.208",165.934218477317,161.065962501819,170.802474452816,153.589786187907,178.278650766728
"2011.226",200.611877713955,195.743621738457,205.480133689454,188.267445424545,212.956310003366
"2011.245",180.648780822259,175.78052484676,185.517036797757,168.304348532848,192.993213111669
"2011.264",183.244761318083,178.376505342584,188.113017293581,170.900329028672,195.589193607493
"2011.283",180.933796185072,176.065540209574,185.80205216057,168.589363895662,193.278228474482
"2011.302",151.657696307836,146.789440332338,156.525952283335,139.313264018426,164.002128597247
"2011.321",174.492219298769,169.62396332327,179.360475274267,162.147787009358,186.836651588179
"2011.340",177.614210168305,172.745954192807,182.482466143803,165.269777878895,189.958642457715
"2011.358",179.38009125826,174.511835282761,184.248347233758,167.03565896885,191.72452354767
"2011.377",159.942566646813,155.074310671315,164.810822622312,147.598134357403,172.286998936224
"2011.396",154.516111314014,149.647855338516,159.384367289513,142.171679024604,166.860543603425
"2011.415",157.444842807109,152.576586831611,162.313098782607,145.100410517699,169.789275096519
"2011.434",135.705486231482,130.837230255983,140.57374220698,123.361053942071,148.049918520892
"2011.453",148.037409415812,143.169153440313,152.90566539131,135.692977126401,160.381841705222
"2011.472",136.81448872598,131.946232750482,141.682744701479,124.47005643657,149.158921015391
"2011.491",127.286558221834,122.418302246336,132.154814197332,114.942125932424,139.630990511244
"2011.509",121.588872080239,116.720616104741,126.457128055737,109.244439790829,133.933304369649
"2011.528",95.3247058786133,90.4564499031149,100.192961854112,82.980273589203,107.669138168024
"2011.547",93.2142211980632,88.3459652225648,98.0824771735615,80.8697889086528,105.558653487474
"2011.566",62.8715740038444,58.003318028346,67.7398299793427,50.527141714434,75.2160062932547
"2011.585",67.4129822670708,62.5447262915725,72.2812382425692,55.0685499776605,79.7574145564812
"2011.604",81.8448505939268,76.9765946184284,86.7131065694251,69.5004183045164,94.1892828833371
"2011.623",79.3886538832517,74.5203979077533,84.2569098587501,67.0442215938414,91.733086172662
"2011.642",159.939140712485,155.070884736987,164.807396687984,147.594708423075,172.283573001896
"2011.660",151.280978733255,146.412722757757,156.149234708754,138.936546443845,163.625411022666
"2011.679",157.76544924682,152.897193271322,162.633705222318,145.42101695741,170.10988153623
"2011.698",161.81167594072,156.943419965221,166.679931916218,149.467243651309,174.15610823013
"2011.717",107.120943333371,102.252687357872,111.989199308869,94.7765110439602,119.465375622781
"2011.736",182.881497344468,178.01324136897,187.749753319966,170.537065055058,195.225929633878
"2011.755",195.276285938884,190.408029963385,200.144541914382,182.931853649473,207.620718228294
"2011.774",189.973022390685,185.104766415187,194.841278366183,177.628590101275,202.317454680095
"2011.792",183.590466366628,178.72221039113,188.458722342127,171.246034077218,195.934898656039
"2011.811",191.501485889649,186.633229914151,196.369741865148,179.157053600239,203.84591817906
"2011.830",202.257762560671,197.389506585173,207.12601853617,189.913330271261,214.602194850082
"2011.849",206.997454349056,202.129198373558,211.865710324554,194.653022059646,219.341886638466
"2011.868",202.005354306526,197.137098331028,206.873610282024,189.660922017116,214.349786595936
"2011.887",90.3300309328782,85.4617749573798,95.1982869083766,77.9855986434679,102.674463222289
"2011.906",190.658167508853,185.014339610091,196.301995407614,176.347118192631,204.969216825074
"2011.925",205.904189734407,200.216802757995,211.591576710819,191.482687704245,220.325691764569
"2011.943",202.287806543185,196.600419566772,207.975193519597,187.866304513023,216.709308573346
"2011.962",234.880586641368,229.193199664955,240.56797361778,220.459084611206,249.302088671529
"2011.981",30.904259532425,25.2168725560127,36.5916465088374,16.4827575022634,45.3257615625867
