"","year","month","Global","S1","S2","S3","other"
"1",2007,1,1150.1977,56.433,79.274,329.578,684.9127
"2",2007,2,941.481433333333,47.584,64.604,270.274,559.019433333333
"3",2007,3,981.036533333333,60.769,104.762,290.361,525.144533333333
"4",2007,4,586.357766666667,42.078,38.417,189.503,316.359766666667
"5",2007,5,733.4812,75.737,72.132,229.448,356.1642
"6",2007,6,594.7138,59.672,69.939,188.851,276.2518
"7",2007,7,495.063833333333,43.052,55.733,154.815,241.463833333333
"8",2007,8,568.274333333333,36.251,49.711,225.442,256.870333333333
"9",2007,9,697.876766666667,52.841,75.277,226.375,343.383766666667
"10",2007,10,821.272833333333,43.218,87.914,256.08,434.060833333333
"11",2007,11,931.9774,50.823,73.666,299.69,507.7984
"12",2007,12,1210.0695,74.09,82.931,362.423,690.6255
"13",2008,1,1086.15636666667,61.761,62.911,312.175,649.309366666667
"14",2008,2,822.184533333333,40.192,56.646,255.918,469.428533333333
"15",2008,3,926.5099,63.11,79.277,279.67,504.4529
"16",2008,4,803.499866666667,47.08,70.871,295.678,389.870866666667
"17",2008,5,762.031,53.084,58.907,290.62,359.42
"18",2008,6,715.732866666667,68.728,63.449,290.103,293.452866666667
"19",2008,7,591.2903,47.313,44.416,227.228,272.3333
"20",2008,8,205.698,3.873,22.264,79.665,99.896
"21",2008,9,711.129866666667,52.376,44.59,284.282,329.881866666667
"22",2008,10,844.941,44.093,63.228,275.887,461.733
"23",2008,11,998.479333333333,58.067,55.887,280.615,603.910333333333
"24",2008,12,947.231866666667,45.107,39.459,307.346,555.319866666667
"25",2009,1,1049.1668,74.651,72.952,329.606,571.9578
"26",2009,2,837.034833333333,47.098,50.684,296.166,443.086833333333
"27",2009,3,912.649766666667,64.645,48.427,328.697,470.880766666667
"28",2009,4,821.258733333333,54.506,52.601,307.84,406.311733333333
"29",2009,5,753.497166666667,43.57,50.099,311.048,348.780166666667
"30",2009,6,559.033,31.362,29.801,259.969,237.901
"31",2009,7,459.840733333333,18.226,42.528,187.936,211.150733333333
"32",2009,8,484.606733333333,34.023,38.217,192.064,220.302733333333
"33",2009,9,710.476066666667,51.602,46.144,296.547,316.183066666667
"34",2009,10,851.478666666667,54.728,53.729,327.505,415.516666666667
"35",2009,11,917.794033333333,60.445,53.473,335.529,468.347033333333
"36",2009,12,1015.08343333333,57.801,53.49,383.909,519.883433333333
"37",2010,1,989.660966666667,53.887,56.568,395.913,483.292966666667
"38",2010,2,924.528433333333,49.268,53.59,411.714,409.956433333333
"39",2010,3,802.5983,35.089,60.872,324.352,382.2853
"40",2010,4,739.6354,38.196,36.476,336.091,328.8724
"41",2010,5,814.873333333333,48.107,52.376,364.625,349.765333333333
"42",2010,6,698.0904,65.747,47.675,306.934,277.7344
"43",2010,7,536.462533333333,17.667,34.359,192.912,291.524533333333
"44",2010,8,368.389566666667,12.499,26.983,160.189,168.718566666667
"45",2010,9,605.157066666667,36.865,32.508,257.861,277.923066666667
"46",2010,10,865.549233333333,48.199,60.22,315.669,441.461233333333
"47",2010,11,743.306466666667,46.162,42.282,247.113,407.749466666667
