"","year","week","Global","S1","S2","S3","other"
"1",2007,1,249.351133333333,5.857,17.599,54.193,171.702133333333
"2",2007,2,269.605566666667,13.42,18.989,83.356,153.840566666667
"3",2007,3,275.427766666667,23.435,20.075,81.512,150.405766666667
"4",2007,4,254.909666666667,11.475,14.943,72.062,156.429666666667
"5",2007,5,286.2062,11.553,17.58,95.244,161.8292
"6",2007,6,251.1491,15.107,17.489,71.798,146.7551
"7",2007,7,256.422933333333,14.542,20.471,72.355,149.054933333333
"8",2007,8,221.817266666667,8.628,15.747,62.605,134.837266666667
"9",2007,9,92.5074,1.476,10.699,24.681,55.6514
"10",2007,10,251.5355,19.016,31.182,66.004,135.3335
"11",2007,11,217.003,16.116,22.775,60.82,117.292
"12",2007,12,257.489633333333,17.075,20.566,82.279,137.569633333333
"13",2007,13,235.723033333333,11.715,25.926,82.813,115.269033333333
"14",2007,14,204.3904,11.032,15.771,68.183,109.4044
"15",2007,15,83.9154333333333,2.876,5.071,21.501,54.4674333333333
"16",2007,16,148.882966666667,16.704,6.764,45.763,79.6519666666667
"17",2007,17,95.7227333333333,5.623,4.91,33.416,51.7737333333333
"18",2007,18,147.361466666667,15.519,8.69,46.655,76.4974666666667
"19",2007,19,164.367233333333,16.276,17.091,56.782,74.2182333333333
"20",2007,20,172.1039,19.776,16.83,50.348,85.1499
"21",2007,21,169.208566666667,17.641,21.216,51.52,78.8315666666666
"22",2007,22,164.742166666667,16.695,18.067,48.905,81.0751666666667
"23",2007,23,159.9637,18.236,17.351,50.556,73.8207
"24",2007,24,147.570533333333,15.843,17.513,45.885,68.3295333333334
"25",2007,25,86.0097,3.666,8.58,26.748,47.0157
"26",2007,26,140.9925,13.94,17.969,46.721,62.3625
"27",2007,27,126.7409,12.384,20.924,37.204,56.2289
"28",2007,28,114.666533333333,7.671,9.251,42.336,55.4085333333333
"29",2007,29,109.2453,13.285,7.829,33.353,54.7783
"30",2007,30,105.9809,5.466,16.993,31.129,52.3929
"31",2007,31,105.9059,7.021,0.398,46.536,51.9509
"32",2007,32,135.533766666667,5.409,12.511,60.541,57.0727666666667
"33",2007,33,117.0784,3.613,10.581,50.208,52.6764
"34",2007,34,140.4253,14.163,18.716,44.542,63.0043
"35",2007,35,146.716,15.432,9.691,48.257,73.336
"36",2007,36,154.1277,12.704,20.838,53.095,67.4907
"37",2007,37,140.301666666667,7.072,12.074,44.591,76.5646666666667
"38",2007,38,150.264066666667,16.5,12.172,51.023,70.5690666666667
"39",2007,39,197.117433333333,10.455,28.007,59.127,99.5284333333333
"40",2007,40,199.585733333333,12.732,29.065,62.154,95.6347333333333
"41",2007,41,193.083366666667,11.446,21.419,52.771,107.447366666667
"42",2007,42,200.234433333333,10.662,16.757,68.548,104.267433333333
"43",2007,43,184.3752,8.378,13.769,56.687,105.5412
"44",2007,44,109.295,1.346,13.981,39.16,54.808
