"","year","week","variable","value"
"1",2007,1,"Global",249
"2",2007,2,"Global",270
"3",2007,3,"Global",275
"4",2007,4,"Global",255
"5",2007,5,"Global",286
"6",2007,6,"Global",251
"7",2007,7,"Global",256
"8",2007,8,"Global",222
"9",2007,9,"Global",93
"10",2007,10,"Global",252
"11",2007,11,"Global",217
"12",2007,12,"Global",257
"13",2007,13,"Global",236
"14",2007,14,"Global",204
"15",2007,15,"Global",84
"16",2007,16,"Global",149
"17",2007,17,"Global",96
"18",2007,18,"Global",147
"19",2007,19,"Global",164
"20",2007,20,"Global",172
"21",2007,21,"Global",169
"22",2007,22,"Global",165
"23",2007,23,"Global",160
"24",2007,24,"Global",148
"25",2007,25,"Global",86
"26",2007,26,"Global",141
"27",2007,27,"Global",127
"28",2007,28,"Global",115
"29",2007,29,"Global",109
"30",2007,30,"Global",106
"31",2007,31,"Global",106
"32",2007,32,"Global",136
"33",2007,33,"Global",117
"34",2007,34,"Global",140
"35",2007,35,"Global",147
"36",2007,36,"Global",154
"37",2007,37,"Global",140
"38",2007,38,"Global",150
"39",2007,39,"Global",197
"40",2007,40,"Global",200
"41",2007,41,"Global",193
"42",2007,42,"Global",200
"43",2007,43,"Global",184
"44",2007,44,"Global",109
"45",2007,45,"Global",227
"46",2007,46,"Global",250
"47",2007,47,"Global",222
"48",2007,48,"Global",269
"49",2007,49,"Global",245
"50",2007,50,"Global",250
"51",2007,51,"Global",259
"52",2007,52,"Global",317
"53",2007,53,"Global",37
"54",2008,1,"Global",232
"55",2008,2,"Global",253
"56",2008,3,"Global",236
"57",2008,4,"Global",260
"58",2008,5,"Global",241
"59",2008,6,"Global",226
"60",2008,7,"Global",222
"61",2008,8,"Global",189
"62",2008,9,"Global",104
"63",2008,10,"Global",225
"64",2008,11,"Global",216
"65",2008,12,"Global",215
"66",2008,13,"Global",215
"67",2008,14,"Global",196
"68",2008,15,"Global",231
"69",2008,16,"Global",194
"70",2008,17,"Global",131
"71",2008,18,"Global",155
"72",2008,19,"Global",198
