"","submeter","year","month","day","kWh"
"1","Sub_metering_1",2007,1,1,0
"2","Sub_metering_1",2007,1,2,0
"3","Sub_metering_1",2007,1,3,0
"4","Sub_metering_1",2007,1,4,1.051
"5","Sub_metering_1",2007,1,5,1.483
"6","Sub_metering_1",2007,1,6,1.336
"7","Sub_metering_1",2007,1,7,1.987
"8","Sub_metering_1",2007,1,8,0
"9","Sub_metering_1",2007,1,9,1.688
"10","Sub_metering_1",2007,1,10,0.771
"11","Sub_metering_1",2007,1,11,1.378
"12","Sub_metering_1",2007,1,12,0
"13","Sub_metering_1",2007,1,13,7.806
"14","Sub_metering_1",2007,1,14,1.777
"15","Sub_metering_1",2007,1,15,1.099
"16","Sub_metering_1",2007,1,16,2.063
"17","Sub_metering_1",2007,1,17,3.5
"18","Sub_metering_1",2007,1,18,0
"19","Sub_metering_1",2007,1,19,2.103
"20","Sub_metering_1",2007,1,20,4.324
"21","Sub_metering_1",2007,1,21,10.346
"22","Sub_metering_1",2007,1,22,1.054
"23","Sub_metering_1",2007,1,23,0
"24","Sub_metering_1",2007,1,24,3.464
"25","Sub_metering_1",2007,1,25,1.158
"26","Sub_metering_1",2007,1,26,1.163
"27","Sub_metering_1",2007,1,27,1.17
"28","Sub_metering_1",2007,1,28,3.466
"29","Sub_metering_1",2007,1,29,1.123
"30","Sub_metering_1",2007,1,30,1.123
"31","Sub_metering_1",2007,1,31,0
"32","Sub_metering_1",2007,2,1,1.17
"33","Sub_metering_1",2007,2,2,0
"34","Sub_metering_1",2007,2,3,4.746
"35","Sub_metering_1",2007,2,4,3.391
"36","Sub_metering_1",2007,2,5,0.896
"37","Sub_metering_1",2007,2,6,1.185
"38","Sub_metering_1",2007,2,7,3.299
"39","Sub_metering_1",2007,2,8,2.226
"40","Sub_metering_1",2007,2,9,0
"41","Sub_metering_1",2007,2,10,5.071
"42","Sub_metering_1",2007,2,11,2.43
"43","Sub_metering_1",2007,2,12,2.227
"44","Sub_metering_1",2007,2,13,0
"45","Sub_metering_1",2007,2,14,3.295
"46","Sub_metering_1",2007,2,15,0
"47","Sub_metering_1",2007,2,16,1.148
"48","Sub_metering_1",2007,2,17,1.765
"49","Sub_metering_1",2007,2,18,6.107
"50","Sub_metering_1",2007,2,19,1.634
"51","Sub_metering_1",2007,2,20,2.058
"52","Sub_metering_1",2007,2,21,3.527
"53","Sub_metering_1",2007,2,22,1.409
"54","Sub_metering_1",2007,2,23,0
"55","Sub_metering_1",2007,2,24,0
"56","Sub_metering_1",2007,2,25,0
"57","Sub_metering_1",2007,2,26,0
"58","Sub_metering_1",2007,2,27,0
"59","Sub_metering_1",2007,2,28,0
"60","Sub_metering_1",2007,3,1,0
"61","Sub_metering_1",2007,3,2,0
"62","Sub_metering_1",2007,3,3,0
"63","Sub_metering_1",2007,3,4,1.476
"64","Sub_metering_1",2007,3,5,5.727
"65","Sub_metering_1",2007,3,6,0
"66","Sub_metering_1",2007,3,7,1.076
"67","Sub_metering_1",2007,3,8,2.18
"68","Sub_metering_1",2007,3,9,1.093
"69","Sub_metering_1",2007,3,10,4.13
"70","Sub_metering_1",2007,3,11,4.81
"71","Sub_metering_1",2007,3,12,1.403
"72","Sub_metering_1",2007,3,13,1.35
"73","Sub_metering_1",2007,3,14,3.485
"74","Sub_metering_1",2007,3,15,0
"75","Sub_metering_1",2007,3,16,1.106
"76","Sub_metering_1",2007,3,17,2.208
"77","Sub_metering_1",2007,3,18,6.564
"78","Sub_metering_1",2007,3,19,1.648
"79","Sub_metering_1",2007,3,20,3.745
"80","Sub_metering_1",2007,3,21,1.865
"81","Sub_metering_1",2007,3,22,0.353
"82","Sub_metering_1",2007,3,23,1.127
"83","Sub_metering_1",2007,3,24,3.707
"84","Sub_metering_1",2007,3,25,4.63
"85","Sub_metering_1",2007,3,26,1.088
"86","Sub_metering_1",2007,3,27,0
"87","Sub_metering_1",2007,3,28,1.122
"88","Sub_metering_1",2007,3,29,1.162
"89","Sub_metering_1",2007,3,30,1.094
"90","Sub_metering_1",2007,3,31,2.62
