"","submeter","year","week","kWh"
"1","Sub_metering_1",2007,1,5.857
"2","Sub_metering_1",2007,2,13.42
"3","Sub_metering_1",2007,3,23.435
"4","Sub_metering_1",2007,4,11.475
"5","Sub_metering_1",2007,5,11.553
"6","Sub_metering_1",2007,6,15.107
"7","Sub_metering_1",2007,7,14.542
"8","Sub_metering_1",2007,8,8.628
"9","Sub_metering_1",2007,9,1.476
"10","Sub_metering_1",2007,10,19.016
"11","Sub_metering_1",2007,11,16.116
"12","Sub_metering_1",2007,12,17.075
"13","Sub_metering_1",2007,13,11.715
"14","Sub_metering_1",2007,14,11.032
"15","Sub_metering_1",2007,15,2.876
"16","Sub_metering_1",2007,16,16.704
"17","Sub_metering_1",2007,17,5.623
"18","Sub_metering_1",2007,18,15.519
"19","Sub_metering_1",2007,19,16.276
"20","Sub_metering_1",2007,20,19.776
"21","Sub_metering_1",2007,21,17.641
"22","Sub_metering_1",2007,22,16.695
"23","Sub_metering_1",2007,23,18.236
"24","Sub_metering_1",2007,24,15.843
"25","Sub_metering_1",2007,25,3.666
"26","Sub_metering_1",2007,26,13.94
"27","Sub_metering_1",2007,27,12.384
"28","Sub_metering_1",2007,28,7.671
"29","Sub_metering_1",2007,29,13.285
"30","Sub_metering_1",2007,30,5.466
"31","Sub_metering_1",2007,31,7.021
"32","Sub_metering_1",2007,32,5.409
"33","Sub_metering_1",2007,33,3.613
"34","Sub_metering_1",2007,34,14.163
"35","Sub_metering_1",2007,35,15.432
"36","Sub_metering_1",2007,36,12.704
"37","Sub_metering_1",2007,37,7.072
"38","Sub_metering_1",2007,38,16.5
"39","Sub_metering_1",2007,39,10.455
"40","Sub_metering_1",2007,40,12.732
"41","Sub_metering_1",2007,41,11.446
"42","Sub_metering_1",2007,42,10.662
"43","Sub_metering_1",2007,43,8.378
"44","Sub_metering_1",2007,44,1.346
"45","Sub_metering_1",2007,45,16.269
"46","Sub_metering_1",2007,46,14.437
"47","Sub_metering_1",2007,47,13.407
"48","Sub_metering_1",2007,48,16.81
"49","Sub_metering_1",2007,49,16.094
"50","Sub_metering_1",2007,50,10.503
"51","Sub_metering_1",2007,51,12.832
"52","Sub_metering_1",2007,52,23.215
"53","Sub_metering_1",2007,53,0
"54","Sub_metering_1",2008,1,10.199
"55","Sub_metering_1",2008,2,23.944
"56","Sub_metering_1",2008,3,8.281
"57","Sub_metering_1",2008,4,16.685
"58","Sub_metering_1",2008,5,12.715
"59","Sub_metering_1",2008,6,9.782
"60","Sub_metering_1",2008,7,11.206
"61","Sub_metering_1",2008,8,9.141
"62","Sub_metering_1",2008,9,0
"63","Sub_metering_1",2008,10,15.613
"64","Sub_metering_1",2008,11,11.814
"65","Sub_metering_1",2008,12,17.276
"66","Sub_metering_1",2008,13,18.407
"67","Sub_metering_1",2008,14,10.791
"68","Sub_metering_1",2008,15,17.445
"69","Sub_metering_1",2008,16,11.254
"70","Sub_metering_1",2008,17,5.131
"71","Sub_metering_1",2008,18,9.773
"72","Sub_metering_1",2008,19,17.875
"73","Sub_metering_1",2008,20,11.333
"74","Sub_metering_1",2008,21,10.656
"75","Sub_metering_1",2008,22,8.772
"76","Sub_metering_1",2008,23,14.085
"77","Sub_metering_1",2008,24,16.957
"78","Sub_metering_1",2008,25,23.233
"79","Sub_metering_1",2008,26,11.587
"80","Sub_metering_1",2008,27,13.689
"81","Sub_metering_1",2008,28,12.319
"82","Sub_metering_1",2008,29,11.352
"83","Sub_metering_1",2008,30,4.301
"84","Sub_metering_1",2008,31,6.834
"85","Sub_metering_1",2008,32,0.635
"86","Sub_metering_1",2008,33,0
"87","Sub_metering_1",2008,34,0
"88","Sub_metering_1",2008,35,3.006
"89","Sub_metering_1",2008,36,15.51
"90","Sub_metering_1",2008,37,10.68
"91","Sub_metering_1",2008,38,12.705
"92","Sub_metering_1",2008,39,11.533
"93","Sub_metering_1",2008,40,13.49
"94","Sub_metering_1",2008,41,8.834
"95","Sub_metering_1",2008,42,8.503
"96","Sub_metering_1",2008,43,10.964
"97","Sub_metering_1",2008,44,4.263
"98","Sub_metering_1",2008,45,18.1
"99","Sub_metering_1",2008,46,14.376
"100","Sub_metering_1",2008,47,10.676
"101","Sub_metering_1",2008,48,15.037
"102","Sub_metering_1",2008,49,11.469
"103","Sub_metering_1",2008,50,12.536
"104","Sub_metering_1",2008,51,11.302
"105","Sub_metering_1",2008,52,5.74
"106","Sub_metering_1",2008,53,2.975
"107","Sub_metering_1",2009,1,15.013
"108","Sub_metering_1",2009,2,15.341
"109","Sub_metering_1",2009,3,18.934
"110","Sub_metering_1",2009,4,15.463
"111","Sub_metering_1",2009,5,15.963
"112","Sub_metering_1",2009,6,19.608
"113","Sub_metering_1",2009,7,6.954
"114","Sub_metering_1",2009,8,12.174
"115","Sub_metering_1",2009,9,18.41
"116","Sub_metering_1",2009,10,14.929
"117","Sub_metering_1",2009,11,8.989
"118","Sub_metering_1",2009,12,14.088
"119","Sub_metering_1",2009,13,13.335
"120","Sub_metering_1",2009,14,11.692
"121","Sub_metering_1",2009,15,19.672
"122","Sub_metering_1",2009,16,9.074
"123","Sub_metering_1",2009,17,10.234
"124","Sub_metering_1",2009,18,9.825
"125","Sub_metering_1",2009,19,11.07
"126","Sub_metering_1",2009,20,10.719
"127","Sub_metering_1",2009,21,6.223
"128","Sub_metering_1",2009,22,10.489
"129","Sub_metering_1",2009,23,8.808
"130","Sub_metering_1",2009,24,5.883
"131","Sub_metering_1",2009,25,6.077
"132","Sub_metering_1",2009,26,7.854
"133","Sub_metering_1",2009,27,8.513
"134","Sub_metering_1",2009,28,5.15
"135","Sub_metering_1",2009,29,0.914
"136","Sub_metering_1",2009,30,1.795
"137","Sub_metering_1",2009,31,0.865
"138","Sub_metering_1",2009,32,3.753
"139","Sub_metering_1",2009,33,9.888
"140","Sub_metering_1",2009,34,14.086
"141","Sub_metering_1",2009,35,7.243
"142","Sub_metering_1",2009,36,11.464
"143","Sub_metering_1",2009,37,20.304
"144","Sub_metering_1",2009,38,12.075
"145","Sub_metering_1",2009,39,6.812
"146","Sub_metering_1",2009,40,9.502
"147","Sub_metering_1",2009,41,14.693
"148","Sub_metering_1",2009,42,11.726
"149","Sub_metering_1",2009,43,14.49
"150","Sub_metering_1",2009,44,11.252
"151","Sub_metering_1",2009,45,12.814
"152","Sub_metering_1",2009,46,16.535
"153","Sub_metering_1",2009,47,16.547
"154","Sub_metering_1",2009,48,8.757
"155","Sub_metering_1",2009,49,13.163
"156","Sub_metering_1",2009,50,12.784
"157","Sub_metering_1",2009,51,8.033
"158","Sub_metering_1",2009,52,22.678
"159","Sub_metering_1",2009,53,0
"160","Sub_metering_2",2007,1,17.599
"161","Sub_metering_2",2007,2,18.989
"162","Sub_metering_2",2007,3,20.075
"163","Sub_metering_2",2007,4,14.943
"164","Sub_metering_2",2007,5,17.58
"165","Sub_metering_2",2007,6,17.489
"166","Sub_metering_2",2007,7,20.471
"167","Sub_metering_2",2007,8,15.747
"168","Sub_metering_2",2007,9,10.699
"169","Sub_metering_2",2007,10,31.182
"170","Sub_metering_2",2007,11,22.775
"171","Sub_metering_2",2007,12,20.566
"172","Sub_metering_2",2007,13,25.926
"173","Sub_metering_2",2007,14,15.771
"174","Sub_metering_2",2007,15,5.071
"175","Sub_metering_2",2007,16,6.764
"176","Sub_metering_2",2007,17,4.91
