"","submeter","year","week","kWh"
"1","Sub_metering_1",2010,1,11.661
"2","Sub_metering_1",2010,2,10.038
"3","Sub_metering_1",2010,3,12.426
"4","Sub_metering_1",2010,4,13.319
"5","Sub_metering_1",2010,5,10.862
"6","Sub_metering_1",2010,6,11.556
"7","Sub_metering_1",2010,7,12.974
"8","Sub_metering_1",2010,8,15.43
"9","Sub_metering_1",2010,9,6.674
"10","Sub_metering_1",2010,10,9.406
"11","Sub_metering_1",2010,11,11.064
"12","Sub_metering_1",2010,12,6.779
"13","Sub_metering_1",2010,13,7.835
"14","Sub_metering_1",2010,14,7.006
"15","Sub_metering_1",2010,15,13.046
"16","Sub_metering_1",2010,16,8.174
"17","Sub_metering_1",2010,17,5.495
"18","Sub_metering_1",2010,18,10.486
"19","Sub_metering_1",2010,19,11.825
"20","Sub_metering_1",2010,20,10.889
"21","Sub_metering_1",2010,21,8.41
"22","Sub_metering_1",2010,22,13.078
"23","Sub_metering_1",2010,23,26.344
"24","Sub_metering_1",2010,24,13.899
"25","Sub_metering_1",2010,25,15.888
"26","Sub_metering_1",2010,26,6.607
"27","Sub_metering_1",2010,27,4.259
"28","Sub_metering_1",2010,28,7.887
"29","Sub_metering_1",2010,29,2.039
"30","Sub_metering_1",2010,30,2.605
"31","Sub_metering_1",2010,31,0
"32","Sub_metering_1",2010,32,0
"33","Sub_metering_1",2010,33,2.47
"34","Sub_metering_1",2010,34,0.969
"35","Sub_metering_1",2010,35,11.936
"36","Sub_metering_1",2010,36,12.061
"37","Sub_metering_1",2010,37,7.914
"38","Sub_metering_1",2010,38,9.752
"39","Sub_metering_1",2010,39,4.262
"40","Sub_metering_1",2010,40,15.608
"41","Sub_metering_1",2010,41,11.93
"42","Sub_metering_1",2010,42,7.875
"43","Sub_metering_1",2010,43,7.928
"44","Sub_metering_1",2010,44,11.908
"45","Sub_metering_1",2010,45,11.915
"46","Sub_metering_1",2010,46,12.852
"47","Sub_metering_1",2010,47,13.265
"48","Sub_metering_1",2010,48,1.08
"49","Sub_metering_2",2010,1,9.641
"50","Sub_metering_2",2010,2,11.794
"51","Sub_metering_2",2010,3,10.403
"52","Sub_metering_2",2010,4,14.955
"53","Sub_metering_2",2010,5,19.479
"54","Sub_metering_2",2010,6,10.667
"55","Sub_metering_2",2010,7,13.592
"56","Sub_metering_2",2010,8,16.245
"57","Sub_metering_2",2010,9,5.138
"58","Sub_metering_2",2010,10,14.181
"59","Sub_metering_2",2010,11,14.177
"60","Sub_metering_2",2010,12,11.581
"61","Sub_metering_2",2010,13,19.694
"62","Sub_metering_2",2010,14,8.12
"63","Sub_metering_2",2010,15,9.866
"64","Sub_metering_2",2010,16,10.596
"65","Sub_metering_2",2010,17,6.718
"66","Sub_metering_2",2010,18,17.557
