"","year","week","Global","S1","S2","S3","other"
"1",2007,1,249,6,18,54,172
"2",2007,2,270,13,19,83,154
"3",2007,3,275,23,20,82,150
"4",2007,4,255,11,15,72,156
"5",2007,5,286,12,18,95,162
"6",2007,6,251,15,17,72,147
"7",2007,7,256,15,20,72,149
"8",2007,8,222,9,16,63,135
"9",2007,9,93,1,11,25,56
"10",2007,10,252,19,31,66,135
"11",2007,11,217,16,23,61,117
"12",2007,12,257,17,21,82,138
"13",2007,13,236,12,26,83,115
"14",2007,14,204,11,16,68,109
"15",2007,15,84,3,5,22,54
"16",2007,16,149,17,7,46,80
"17",2007,17,96,6,5,33,52
"18",2007,18,147,16,9,47,76
"19",2007,19,164,16,17,57,74
"20",2007,20,172,20,17,50,85
"21",2007,21,169,18,21,52,79
"22",2007,22,165,17,18,49,81
"23",2007,23,160,18,17,51,74
"24",2007,24,148,16,18,46,68
"25",2007,25,86,4,9,27,47
"26",2007,26,141,14,18,47,62
"27",2007,27,127,12,21,37,56
"28",2007,28,115,8,9,42,55
"29",2007,29,109,13,8,33,55
"30",2007,30,106,5,17,31,52
"31",2007,31,106,7,0,47,52
"32",2007,32,136,5,13,61,57
"33",2007,33,117,4,11,50,53
"34",2007,34,140,14,19,45,63
"35",2007,35,147,15,10,48,73
"36",2007,36,154,13,21,53,67
"37",2007,37,140,7,12,45,77
"38",2007,38,150,16,12,51,71
"39",2007,39,197,10,28,59,100
"40",2007,40,200,13,29,62,96
"41",2007,41,193,11,21,53,107
"42",2007,42,200,11,17,69,104
"43",2007,43,184,8,14,57,106
"44",2007,44,109,1,14,39,55
"45",2007,45,227,16,12,65,133
"46",2007,46,250,14,19,84,133
"47",2007,47,222,13,16,73,120
"48",2007,48,269,17,28,83,142
"49",2007,49,245,16,15,73,141
"50",2007,50,250,11,16,78,146
"51",2007,51,259,13,17,84,146
"52",2007,52,317,23,25,85,184
"53",2007,53,37,0,3,14,19
"54",2008,1,232,10,15,72,134
"55",2008,2,253,24,8,67,155
"56",2008,3,236,8,18,71,138
"57",2008,4,260,17,15,74,154
"58",2008,5,241,13,14,68,146
"59",2008,6,226,10,16,69,131
"60",2008,7,222,11,12,70,128
"61",2008,8,189,9,15,61,104
"62",2008,9,104,0,13,22,69
"63",2008,10,225,16,17,52,140
"64",2008,11,216,12,21,70,112
